w_viirs,w_modis,w_landsat,p_85,r_85,f1_85,p_60,r_60,f1_60,p_40,r_40,f1_40
0.05,0.1,0.2,1.0,0.016841368478557772,0.03312486883525709,1.0,0.03576976918874624,0.06906895770237138,0.9998188897944399,0.18849016662114176,0.3171835274853129
0.05,0.1,0.25,1.0,0.0192292918601475,0.03773300475902341,1.0,0.037978438268232724,0.07317770170948079,0.9998207644396648,0.19046196394427753,0.3199707461873248
0.05,0.1,0.3,1.0,0.02127151051625239,0.04165691551603089,1.0,0.0402361888828189,0.07735971755805056,0.9998219650606431,0.19174661977601748,0.3217816995476993
0.05,0.1,0.35,1.0,0.02302350792133297,0.045010711372828784,1.0,0.04158486410816717,0.07984920968254132,0.9998235903768551,0.19351355503960666,0.3242661441143131
0.05,0.1,0.4,1.0,0.024604786943458072,0.0480278586573027,1.0,0.04276068697077301,0.08201438260008266,0.9998248897352552,0.1949497234362196,0.3262800926463314
0.05,0.1,0.45,1.0,0.026243683419830646,0.05114513023335121,1.0,0.04410296025676045,0.08448009810433806,0.9998250161313254,0.1950905661021579,0.32647733664259126
0.05,0.1,0.5,1.0,0.027654244059000275,0.05382013302406519,1.0,0.04597232655012292,0.08790352360803101,0.9998257004662513,0.19585666484567057,0.3275494107822214
0.05,0.1,0.55,1.0,0.028945301830101064,0.05626208075126718,1.0,0.04618999248839115,0.08830134644765052,0.9998257175535101,0.19587587066375306,0.32757626964399467
0.05,0.1,0.6,1.0,0.029773285987435127,0.05782493368700265,1.0,0.04792491805517618,0.0914663202095034,0.9998268997749697,0.19721387599016663,0.3294453158420077
0.05,0.1,0.65,1.0,0.030686629336246926,0.05954599286110628,1.0,0.04811484225621415,0.09181215705836245,0.9998269185002489,0.19723521578803604,0.3294750913465823
0.05,0.1,0.7,1.0,0.031388708686151325,0.06086688446713027,1.0,0.048155387872166076,0.09188597116296872,0.9998269316055338,0.19725015364654466,0.3294959335682471
0.05,0.1,0.75,1.0,0.0330425430210325,0.06397131123835964,1.0,0.048955630292269875,0.09334166074999645,0.9998269465805726,0.19726722548484021,0.32951975261333355
0.05,0.1,0.8,1.0,0.03355256419011199,0.06492667204866093,1.0,0.049006845807156516,0.0934347492640971,0.9998269690382723,0.19729283324228353,0.3295554799073924
0.05,0.1,0.85,1.0,0.0348692297186561,0.06738866847579533,1.0,0.04904098948374761,0.09349680322383129,0.9998269727806556,0.19729710120185742,0.32956143430782475
0.05,0.15,0.0,1.0,0.0001066989893471729,0.00021337521177489766,1.0,0.034231169762360014,0.06619636066514116,0.9997845988152935,0.17828760925976508,0.30261168148388273
0.05,0.15,0.05,1.0,0.00667722275334608,0.013265866361977118,1.0,0.04457243580988801,0.08534101471925148,0.9997965366008048,0.18875051215514888,0.3175509266240154
0.05,0.15,0.1,1.0,0.01118845602294455,0.022129319131963424,1.0,0.049538206774105434,0.09440000650641898,0.9997994674747385,0.19150974801966675,0.3214469284648682
0.05,0.15,0.15,1.0,0.014485454793772194,0.02855724490740351,1.0,0.05299738800874078,0.1006600559740436,0.9998018777585771,0.193840053947009,0.32472326042387223
0.05,0.15,0.2,1.0,0.017253226577437858,0.03392120295452209,1.0,0.0554535987435127,0.10508012632583492,0.9998042222729794,0.19616182395520348,0.3279748960394185
0.05,0.15,0.25,1.0,0.019547254848402074,0.03834497078079737,1.0,0.057615320267686426,0.10895326337198628,0.9998061535479286,0.1981165494400437,0.33070271521822375
0.05,0.15,0.3,1.0,0.0215617317672767,0.04221327228061966,1.0,0.05988800874078121,0.1130081824624702,0.9998074062978141,0.19940547323135754,0.3324965440186169
0.05,0.15,0.35,1.0,0.023281719475553127,0.04550402696040608,1.0,0.06123028202676864,0.11539490167926465,0.9998090995863824,0.20117454247473368,0.33495233594718754
0.05,0.15,0.4,1.0,0.024871534416826005,0.04853590636796922,1.0,0.06236982723299645,0.11741641306858698,0.9998104504959878,0.20260857689155967,0.3369377362173288
0.05,0.15,0.45,1.0,0.026440009560229447,0.05151788572925459,1.0,0.06370143062004917,0.11977314082000726,0.9998105841374738,0.20275155353728488,0.33713542581484185
0.05,0.15,0.5,1.0,0.027807890603660203,0.054111066587215734,1.0,0.06554305517618138,0.12302281894248603,0.9998112970184929,0.2035176522807976,0.33819388789991417
0.05,0.15,0.55,1.0,0.029098948374760993,0.05655228473552807,1.0,0.06576498907402349,0.12341367890338108,0.9998113128433058,0.20353472411909315,0.3382174594506422
