latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
47.84864,-53.18216,300.88,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,286.78,2.4,N,0
47.84674,-53.17152,310.26,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,289.6,2.92,N,0
47.84579,-53.16618,312.45,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,289.36,0.91,N,0
47.84485,-53.16087,299.64,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,288.32,0.91,N,0
47.84534,-53.18347,321.56,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,289.22,1.75,N,0
47.84439,-53.17815,324.66,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,290.96,1.5,N,0
47.84344,-53.1728,300.19,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,288,1.5,N,0
47.84249,-53.16746,299.4,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.99,0.88,N,0
47.83214,-53.10949,299.81,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.38,0.62,N,0
47.8312,-53.10419,312.35,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.37,1.79,N,0
47.82789,-53.10549,329.05,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.48,1.79,N,3
47.84203,-53.18475,312.42,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,288.2,1.75,N,0
47.84109,-53.17944,310.89,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,289.18,1.5,N,0
47.82978,-53.1161,298.35,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.06,0.62,N,0
47.82884,-53.1108,300.68,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287,0.62,N,0
47.83873,-53.18605,328.67,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,292,3.02,N,0
47.82647,-53.11738,331.17,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,288.43,2.78,N,0
47.83778,-53.18071,304.09,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,288.71,0.83,N,0
47.83637,-53.19264,337.65,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,291.81,3.02,N,0
47.83543,-53.18734,320.71,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,291.24,3.02,N,0
47.83448,-53.182,304.62,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,288.62,0.83,N,0
47.83307,-53.19393,330.79,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,290.62,1.97,N,0
47.83212,-53.18863,316.55,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,289.91,1.97,N,0
47.8307,-53.20047,298.24,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.1,0.83,N,0
47.82976,-53.19522,299.28,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.25,1.97,N,0
47.82127,-53.14766,308.67,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,289.43,1.04,N,0
47.82032,-53.14235,309.8,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,288.55,1.15,N,0
47.82739,-53.20173,301.65,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.49,1.16,N,0
47.82551,-53.19117,301.56,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,288.07,1.05,N,0
47.82456,-53.18586,301.92,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,288.03,0.56,N,0
47.82361,-53.18057,298.14,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.11,0.56,N,0
47.81796,-53.14896,304.37,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,288.12,0.93,N,0
47.81701,-53.14365,298,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.13,1.17,N,0
47.81606,-53.13835,306.68,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,288.54,1.17,N,0
47.81511,-53.13305,300.86,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.92,1.05,N,0
47.81276,-53.13966,326.57,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.67,1.17,N,0
47.81181,-53.13435,322.54,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.37,1.05,N,0
47.82219,-53.19241,303.38,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.57,1.05,N,0
47.82125,-53.18712,303.26,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,288.01,0.56,N,0
47.8203,-53.18185,305.78,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,288.21,0.56,N,0
47.8156,-53.15552,308.79,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,289.43,0.93,N,0
47.81466,-53.15024,304.31,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,288.51,0.93,N,0
47.81371,-53.14496,301.04,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.62,1.17,N,0
47.81889,-53.19368,322.72,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,288.91,1.5,N,0
47.81983,-53.19896,300.91,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.17,1.5,N,0
47.81794,-53.18841,314.85,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,289.77,2.18,N,0
47.817,-53.18314,313.6,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,289.26,2.18,N,0
47.81606,-53.17786,303.82,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,288.45,0.63,N,0
47.81511,-53.17259,301.83,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,288.19,0.63,N,0
47.81322,-53.16205,299.04,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.78,0.9,N,0
47.81229,-53.15678,309.69,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,289.52,1.36,N,0
47.81134,-53.15152,311.74,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.99,1.36,N,0
47.81039,-53.14623,313.61,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,288.09,0.91,N,0
47.81464,-53.18971,335.82,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,291.09,2.18,N,0
47.81369,-53.18442,321.36,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,290.15,2.18,N,0
47.81275,-53.17913,304.31,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,288.25,0.63,N,0
47.8118,-53.17385,299.12,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,287.96,0.63,N,0
47.81086,-53.1686,300.27,0.4,0.37,2025-08-10,0547,N,VIIRS,n,2,288.25,0.9,N,0
48.18769,-64.92052,297.03,0.49,0.48,2025-08-10,0548,N,VIIRS,n,2,273.12,0.63,N,2
47.17445,-65.42353,324.22,0.5,0.49,2025-08-10,0548,N,VIIRS,n,2,286,4.19,N,0
47.17036,-65.43082,334.71,0.5,0.49,2025-08-10,0548,N,VIIRS,n,2,286.43,2.79,N,0
47.1699,-65.42416,322.22,0.5,0.49,2025-08-10,0548,N,VIIRS,n,2,286.81,2.24,N,0
47.17082,-65.43752,301.48,0.5,0.49,2025-08-10,0548,N,VIIRS,n,2,284.01,2.79,N,0
47.16582,-65.43159,299.85,0.5,0.49,2025-08-10,0548,N,VIIRS,n,2,283.64,2.79,N,0
47.16536,-65.42494,301.21,0.5,0.49,2025-08-10,0548,N,VIIRS,n,2,284.01,2.24,N,0
47.16173,-65.43906,306.37,0.5,0.49,2025-08-10,0548,N,VIIRS,n,2,285.52,1.5,N,0
47.16127,-65.43239,298.22,0.5,0.49,2025-08-10,0548,N,VIIRS,n,2,283.53,1.5,N,0
47.16082,-65.4257,306.03,0.5,0.49,2025-08-10,0548,N,VIIRS,n,2,283.69,1.15,N,0
47.16036,-65.41908,306.74,0.5,0.49,2025-08-10,0548,N,VIIRS,n,2,282.82,1.15,N,0
47.15719,-65.43983,320.02,0.5,0.49,2025-08-10,0548,N,VIIRS,n,2,285.79,1.5,N,0
47.15673,-65.43317,310.73,0.5,0.49,2025-08-10,0548,N,VIIRS,n,2,284.23,1.5,N,0
47.15628,-65.42647,297.03,0.5,0.49,2025-08-10,0548,N,VIIRS,n,2,282.13,1.15,N,0
47.1531,-65.44727,301.26,0.5,0.49,2025-08-10,0548,N,VIIRS,n,2,284.1,1.76,N,0
47.15265,-65.4406,308.01,0.5,0.49,2025-08-10,0548,N,VIIRS,n,2,283.99,1.19,N,0
47.15219,-65.43391,308.08,0.5,0.49,2025-08-10,0548,N,VIIRS,n,2,282.01,1.19,N,0
47.15691,-65.43947,319.96,0.5,0.49,2025-08-10,0548,N,VIIRS,n,2,285.76,1.99,N,0
47.15641,-65.43281,312.2,0.5,0.49,2025-08-10,0548,N,VIIRS,n,2,284.6,1.94,N,0
47.15285,-65.44686,301.59,0.5,0.49,2025-08-10,0548,N,VIIRS,n,2,283.82,1.99,N,0
47.15236,-65.44022,307.95,0.5,0.49,2025-08-10,0548,N,VIIRS,n,2,284.15,1.99,N,0
47.15187,-65.43353,304.02,0.5,0.49,2025-08-10,0548,N,VIIRS,n,2,281.05,1.94,N,0
45.8882,-67.58936,320.25,0.62,0.54,2025-08-10,0548,N,VIIRS,n,2,280.5,7.78,N,0
45.88321,-67.59006,351.77,0.62,0.54,2025-08-10,0548,N,VIIRS,n,2,279.99,7.78,N,0
46.0439,-73.14384,303.36,0.57,0.69,2025-08-10,0548,N,VIIRS,n,2,286.71,1.13,N,2
45.81877,-73.27038,305.13,0.58,0.7,2025-08-10,0548,N,VIIRS,n,2,285.87,2.18,N,0
45.23914,-63.33403,296.71,0.38,0.43,2025-08-10,0548,N,VIIRS,n,2,285.96,0.55,N,0
45.27633,-66.01168,296.2,0.51,0.49,2025-08-10,0548,N,VIIRS,n,2,285.95,0.61,N,0
45.11277,-73.01073,300.19,0.56,0.69,2025-08-10,0549,N,VIIRS,n,2,286.39,1.04,N,2
61.5895,-73.42234,325.41,0.38,0.36,2025-08-10,0725,N,VIIRS,n,2,272.82,1.75,N,0
58.97399,-100.20842,303.69,0.68,0.74,2025-08-10,0726,N,VIIRS,n,2,284.36,2.06,N,0
58.97451,-100.19588,299.96,0.68,0.74,2025-08-10,0726,N,VIIRS,n,2,283.85,2.06,N,0
58.97502,-100.18341,298.42,0.68,0.74,2025-08-10,0726,N,VIIRS,n,2,283.24,1.36,N,0
58.96704,-100.20764,309.27,0.68,0.74,2025-08-10,0726,N,VIIRS,n,2,284.2,2.06,N,0
58.96756,-100.19508,307.06,0.68,0.74,2025-08-10,0726,N,VIIRS,n,2,284.41,2.06,N,0
58.96807,-100.18262,298.83,0.68,0.74,2025-08-10,0726,N,VIIRS,n,2,282.94,1.36,N,0
58.96858,-100.17016,299.79,0.68,0.74,2025-08-10,0726,N,VIIRS,n,2,283.36,1.36,N,0
58.96008,-100.20684,297.04,0.68,0.74,2025-08-10,0726,N,VIIRS,n,2,283.05,2.72,N,0
58.9606,-100.19436,304.39,0.68,0.74,2025-08-10,0726,N,VIIRS,n,2,283.96,2.72,N,0
58.95261,-100.21848,315.01,0.68,0.74,2025-08-10,0726,N,VIIRS,n,2,284.5,4.79,N,3
58.94564,-100.21755,297.5,0.68,0.74,2025-08-10,0726,N,VIIRS,n,2,281.57,2.52,N,3
58.94618,-100.20503,295.57,0.68,0.74,2025-08-10,0726,N,VIIRS,n,2,282.44,1.18,N,0
58.9601,-99.86295,310.14,0.66,0.73,2025-08-10,0726,N,VIIRS,n,2,283.79,1.61,N,0
58.93974,-100.19183,296.14,0.68,0.74,2025-08-10,0726,N,VIIRS,n,2,283.21,1.18,N,0
58.94026,-100.17949,299.02,0.68,0.74,2025-08-10,0726,N,VIIRS,n,2,282.86,2.4,N,0
58.95226,-99.88634,305.83,0.66,0.73,2025-08-10,0726,N,VIIRS,n,2,283.89,2.9,N,3
58.95274,-99.87397,308.91,0.66,0.73,2025-08-10,0726,N,VIIRS,n,2,283.31,2.9,N,0
58.95323,-99.86185,302.71,0.66,0.73,2025-08-10,0726,N,VIIRS,n,2,283.73,1.61,N,0
58.95371,-99.84955,300.64,0.66,0.73,2025-08-10,0726,N,VIIRS,n,2,283.82,1.61,N,0
58.96891,-100.2132,302.08,0.68,0.74,2025-08-10,0726,N,VIIRS,n,2,284.06,2.34,N,0
58.96939,-100.20058,310.17,0.68,0.74,2025-08-10,0726,N,VIIRS,n,2,284.36,2.34,N,0
58.96986,-100.18806,308.33,0.68,0.74,2025-08-10,0726,N,VIIRS,n,2,284.24,2.16,N,0
58.97033,-100.17561,301.44,0.68,0.74,2025-08-10,0726,N,VIIRS,n,2,283.38,2.16,N,0
58.96196,-100.21232,296.87,0.68,0.74,2025-08-10,0726,N,VIIRS,n,2,283.27,2.34,N,3
58.96244,-100.19978,308.39,0.68,0.74,2025-08-10,0726,N,VIIRS,n,2,284.47,2.34,N,0
58.96291,-100.18731,299.8,0.68,0.74,2025-08-10,0726,N,VIIRS,n,2,283.21,2.16,N,0
58.96386,-100.16236,298.4,0.68,0.74,2025-08-10,0726,N,VIIRS,n,2,282.93,1.71,N,0
58.95501,-100.21136,295.86,0.68,0.74,2025-08-10,0726,N,VIIRS,n,2,282.18,1.58,N,3
58.95548,-100.19894,299.87,0.68,0.74,2025-08-10,0726,N,VIIRS,n,2,283.3,1.58,N,3
58.94806,-100.21042,312.33,0.68,0.74,2025-08-10,0726,N,VIIRS,n,2,282.37,1.58,N,0
58.96081,-99.86816,298.47,0.66,0.73,2025-08-10,0726,N,VIIRS,n,2,282.8,1.69,N,0
58.94255,-100.17228,296.97,0.68,0.74,2025-08-10,0726,N,VIIRS,n,2,282.19,2.09,N,0
58.9535,-99.87926,318.2,0.66,0.73,2025-08-10,0726,N,VIIRS,n,2,284.23,2.48,N,3
58.95394,-99.86707,296.67,0.66,0.73,2025-08-10,0726,N,VIIRS,n,2,282.84,1.89,N,0
58.95438,-99.85485,306.49,0.66,0.73,2025-08-10,0726,N,VIIRS,n,2,283.94,1.89,N,0
58.94616,-99.89072,298.07,0.66,0.73,2025-08-10,0726,N,VIIRS,n,2,283.47,2.48,N,0
58.94662,-99.87836,301.11,0.66,0.73,2025-08-10,0726,N,VIIRS,n,2,283.23,2.48,N,0
58.94706,-99.86611,309.37,0.66,0.73,2025-08-10,0726,N,VIIRS,n,2,284.56,1.89,N,0
58.94752,-99.85366,304.06,0.66,0.73,2025-08-10,0726,N,VIIRS,n,2,284.17,1.89,N,0
58.9488,-99.81788,295.46,0.66,0.73,2025-08-10,0726,N,VIIRS,n,2,283.47,1.1,N,0
58.93928,-99.88992,296.73,0.66,0.73,2025-08-10,0726,N,VIIRS,n,2,283.93,2.02,N,0
58.93973,-99.87769,300.39,0.66,0.73,2025-08-10,0726,N,VIIRS,n,2,283.54,2.02,N,0
58.94017,-99.86546,308.93,0.66,0.73,2025-08-10,0726,N,VIIRS,n,2,283.99,1.19,N,0
58.94062,-99.85305,295.03,0.66,0.73,2025-08-10,0726,N,VIIRS,n,2,283.08,1.19,N,0
58.94194,-99.81676,298.59,0.66,0.73,2025-08-10,0726,N,VIIRS,n,2,283.7,1.5,N,0
58.93329,-99.86475,295.96,0.66,0.73,2025-08-10,0726,N,VIIRS,n,2,283.16,1.19,N,0
58.93507,-99.81602,298.87,0.66,0.73,2025-08-10,0726,N,VIIRS,n,2,283.87,1.5,N,0
58.86543,-100.34875,302.46,0.69,0.74,2025-08-10,0726,N,VIIRS,n,2,257.41,1.58,N,0
58.86595,-100.33633,303.82,0.69,0.74,2025-08-10,0726,N,VIIRS,n,2,267.19,1.58,N,0
58.8585,-100.34662,300.91,0.69,0.74,2025-08-10,0726,N,VIIRS,n,2,258.04,1.58,N,0
